;id;user;created_at;text1
1;1004460977343959040;AprilDFriesen;2018-06-06 20:32:13;rt,frajud,12,the,only,lesson,one,should,retain,from,1775 1776,amp,1812 1814,war,be,that,canada,doesn,t,like,be,attack,amp,that,u,never,
2;1004460974156517376;JacCro36;2018-06-06 20:32:12;rt,blazingxmexican,realdonaldtrump,mr,trump,why,be,nfl,player,unpatriotic,for,kneeling,when,you,don,t,know,basic,american,history,c,
3;1004460973850353664;LutherJones79;2018-06-06 20:32:12;rt,acosta,scoop,when,trudeau,press,trump,on,national,security,justification,for,tariff,on,canada,trump,respond,didn,t,you,guy,bu,
4;1004460973690793984;msryber78;2018-06-06 20:32:12;kimkkalberts,resistancewave,realdonaldtrump,sorry,say,canada,be,a,security,threat,despite,not,be,able,to,
5;1004460970016636928;dianej1954;2018-06-06 20:32:11;dalt,68,acosta,actually,canada,become,a,country,in,1867,
6;1004460969773404160;DavidHuntSmith;2018-06-06 20:32:11;rt,gartrelllinda,never,forget,the,sacrifice,make,on,d,day,d,day,by,the,number,11,590,aircraft,14674,sortie,127,aircraft,lose,6,039,s,
7;1004460969286946816;Marinick5;2018-06-06 20:32:11;rt,naky,gracias,a,argentina,bahamas,barbados,brasil,canad,chile,colombia,costa,rica,estados,unidos,guatemala,guyana,honduras,
8;1004460969064615936;OackLee;2018-06-06 20:32:11;rt,twittermoments,didn,t,you,guy,burn,down,the,white,house,accord,to,cnn,president,trump,reference,the,war,of,1812,during,a,phon,
9;1004460968917766146;MillennialStorm;2018-06-06 20:32:11;rt,4evernevertrump,acosta,1,yes,it,be,britain,2,it,be,also,over,two,hundred,year,ago,3,finally,canada,have,be,a,steadfast,all,
10;1004460968204734465;ktparrish48;2018-06-06 20:32:11;rt,mmpadellan,every,day,history,be,write,but,with,trump,it,be,be,rewrite,in,new,embarrass,way,like,the,war,of,1812,in,
11;1004460968037048321;one_timi_oke;2018-06-06 20:32:11;even,if,it,be,canada,imagine,try,to,bring,up,a,200yr,old,war,in,trade,negotiation,the,guy,be,too,much,banter,
12;1004460966203887616;benbolliger;2018-06-06 20:32:10;in,vancouver,no,one,should,die,on,our,street,or,seek,shelter,in,a,tim,hortons,because,they,don,t,have,safe,
13;1004460965998411782;murdoch_canada;2018-06-06 20:32:10;rt,swampytrump,i,m,hop,that,fucking,moron,donaldjtrumpjr,get,indict,first,so,we,can,hear,trump,say,that,jr,only,work,on,the,cam,
14;1004460964576624640;VancouverSun;2018-06-06 20:32:10;para,atashnak,dish,on,big,brother,canada,
15;1004460964249587713;apolmom4;2018-06-06 20:32:10;krassenstein,and,it,wasn,t,canada,that,burn,the,wh,it,be,great,britain,omg,
16;1004460963490357249;MedvisJackson;2018-06-06 20:32:10;rt,gregolear,canada,do,not,torch,the,white,house,during,the,war,of,1812,canada,do,however,commit,many,troop,to,the,d,day,mission,i,
17;1004460962974457856;jordanbonomo97;2018-06-06 20:32:10;rt,trivworks,canada,but,why,trump,war,of,1812,france,scramble,to,find,receipt,for,louisiana,purchase,
18;1004460962865434624;UnclehammySteve;2018-06-06 20:32:10;thehill,the,war,of,1812,not,withstand,it,be,easy,to,justify,national,security,concern,with,canada,it,really,com,
19;1004460961611251713;jockdj83;2018-06-06 20:32:09;rt,depressionnote,suicide,hotline,number,unite,kingdom,116,123,unite,state,1 800 273 8255,canada,1 800 456 4566,ireland,
20;1004460961611202560;youngawd;2018-06-06 20:32:09;twitter,fight,back,against,trump,s,war,of,1812,revisionism,canada,didn,t,even,exist,then,
21;1004460960466251778;tcknight01;2018-06-06 20:32:09;rt,bacardi,concert,lover,you,could,win,a,livenation,ultimate,access,pass,for,you,and,a,friend,or,other,epic,music,experience,no,purc,
